GEOID20,District
060855112001008,4
060855112004022,3
060855112001017,4
060855113011028,4
060855111002013,3
060855117072003,6
060855117051029,6
060855117011020,6
060855117051022,6
060855116091020,3
060855117051041,6
060855108011007,1
060855117072004,6
060855115012011,5
060855109001009,2
060855106002015,6
060855111001013,4
060855113021010,3
060855113022019,4
060855109003009,1
060855113024005,3
060855114002008,2
060855106001003,6
060855111004019,3
060855106004000,6
060855107003011,6
060855107003004,6
060855111001003,4
060855110001001,2
060855106003007,6
060855117072006,6
060855115011010,5
060855108012007,1
060855107003005,6
060855113013002,4
060855106003000,6
060855114004026,5
060855108012021,1
060855114004015,2
060855110003006,2
060855117051019,6
060855108012012,1
060855117051039,6
060855113011020,4
060855115012007,5
060855112001005,4
060855110005006,2
060855113021020,3
060855111003003,3
060855113012005,4
060855113022003,4
060855112004000,4
060855115011012,5
060855113022000,4
060855114004004,3
060855107003006,6
060855113011032,5
060855093041000,2
060855107002000,5
060855112003008,4
060855110005010,2
060855106003008,6
060855113021003,4
060855117051018,6
060855112004019,4
060855114001012,5
060855111004001,3
060855112004014,3
060855109002007,5
060855110004003,2
060855114002006,5
060855115012001,5
060855114002001,3
060855108031003,1
060855111002000,2
060855115013012,5
060855108012011,1
060855117072021,6
060855108022004,1
060855108031008,1
060855107001001,5
060855114003005,5
060855106003001,6
060855113022011,4
060855110004001,2
060855117051037,6
060855106003012,6
060855107002001,5
060855046011064,2
060855106002011,6
060855106003014,6
060855117072023,6
060855113011007,3
060855115011005,5
060855116081002,3
060855113011015,3
060855106001005,6
060855094011001,6
060855109001017,5
060855112002003,4
060855113022002,4
060855108022001,1
060855107001011,5
060855113011025,4
060855112001013,4
060855106002004,6
060855108013003,2
060855106003002,6
060855116091016,3
060855106002005,6
060855112002017,4
060855112001003,4
060855114003004,2
060855116081007,3
060855110001007,3
060855046011000,2
060855113021021,3
060855111001016,4
060855113024011,4
060855107003017,6
060855046011047,2
060855112002014,4
060855112002000,4
060855114004022,2
060855109001005,2
060855117051057,6
060855113021006,4
060855115011022,5
060855117051011,5
060855108031005,1
060855107001016,5
060855108031011,1
060855117051017,6
060855113023001,4
060855117051009,5
060855115012009,5
060855113013017,4
060855108013006,2
060855114004012,3
060855094012010,6
060855113021018,3
060855108012014,1
060855111001002,4
060855112002002,4
060855046011041,2
060855108031010,1
060855110004010,2
060855111004015,3
060855111001006,4
060855108032009,1
060855111003000,2
060855113021019,3
060855111001010,4
060855112004011,4
060855109003012,5
060855115013009,5
060855115013020,5
060855110004007,2
060855117051014,6
060855109001011,2
060855112001016,4
060855112004007,4
060855113011027,4
060855112002005,4
060855109003007,1
060855106003013,6
060855115013004,5
060855111004013,3
060855112004002,4
060855113021023,3
060855116091000,3
060855113022004,4
060855093041023,2
060855113024010,3
060855115012003,5
060855110001008,3
060855108011014,1
060855115012004,5
060855111001001,4
060855111003007,3
060855094012005,6
060855113022014,3
060855111004010,3
060855112002008,4
060855111004006,3
060855108022015,1
060855112001012,4
060855116091006,3
060855109001003,2
060855108022009,1
060855110005009,1
060855116091002,3
060855115013021,5
060855113011001,4
060855113011036,4
060855112003000,4
060855109001001,2
060855113021001,4
060855046011057,2
060855110003003,2
060855108012003,1
060855113023005,3
060855114001016,5
060855046011039,2
060855107001013,5
060855111001014,3
060855115013008,5
060855107003000,6
060855113011035,4
060855112004003,4
060855115013013,5
060855108012016,1
060855113011012,3
060855114004025,2
060855114001000,3
060855110002005,2
060855117051054,6
060855114004009,2
060855113011022,4
060855117072054,6
060855109001024,2
060855112004016,3
060855106001001,6
060855115013003,5
060855110002008,2
060855112002016,4
060855114002015,5
060855109003017,1
060855112004021,4
060855106001004,6
060855106002008,6
060855109003004,1
060855093022008,1
060855107001004,5
060855108032007,5
060855112001006,4
060855107001000,5
060855113012001,4
060855113021014,4
060855112003007,4
060855106001002,6
060855109002010,1
060855109001013,2
060855114004032,5
060855093022001,1
060855115011001,5
060855111004012,3
060855109002006,5
060855113012002,4
060855108013001,2
060855107002004,5
060855107001009,5
060855106002007,6
060855111004002,3
060855113024009,3
060855109002000,2
060855108022002,1
060855107001019,5
060855112002006,4
060855114002011,5
060855107001007,5
060855046011059,2
060855108032006,1
060855108032010,1
060855109002008,2
060855117072095,6
060855107001021,5
060855117011000,6
060855113022009,4
060855117051001,5
060855112004004,4
060855114001005,4
060855117051006,5
060855107001015,5
060855113012006,4
060855107002008,5
060855112004018,4
060855114004018,2
060855113024006,3
060855113013008,4
060855114002000,3
060855117051007,5
060855114002009,5
060855112004020,4
060855046011062,2
060855113011000,4
060855112004009,4
060855116091007,3
060855116091021,3
060855111001015,4
060855106002013,6
060855109001008,2
060855111003005,3
060855117051008,5
060855107002007,6
060855110002006,2
060855115013019,5
060855117072011,6
060855106001006,6
060855106002018,6
060855111003006,3
060855106002016,6
060855112001007,4
