plan_number,num_districts,total_population,avg_polsby_popper,avg_schwartzberg,avg_reock,avg_convex_hull,avg_boundary_node_ratio,white_hispanic_dissimilarity,white_asian_dissimilarity,hispanic_gini,asian_gini,entropy_index,hispanic_atkinson,asian_atkinson,hispanic_isolation,asian_isolation,hispanic_interaction,asian_interaction,hispanic_delta,asian_delta,plan_score,score_array
11,6,68654,0.17887987459263008,0.4117049430506792,0.3161272320876716,0.5919559340649998,0.8561435521302904,0.1299424687606801,0.14614440509876162,0.13328733716661745,0.1612991244313497,0.0139634294160368,0.007751737833004518,0.011459186277865269,0.0786765450134422,0.366342320462235,0.9213234549865578,0.6336576795377649,0.060169897895535965,0.06836513468676965,0.47665423171819304,[0.7 0.7 0.9 0.7 0.3 0.2 0.3 0.6 0.7 0.5 0.5 0.4 0.6 0.4 0.6 0.4 0.3 0.4]
12,6,68654,0.12808835608700503,0.35516088055328265,0.29083961604601966,0.5233903070145169,0.8691687580235231,0.1458932762502917,0.12889375214275334,0.1495190823535042,0.14352742148930123,0.012025155056010933,0.009793046715343676,0.008268169920105418,0.07964418087959244,0.3630606323390839,0.9203558191204075,0.636939367660916,0.06846981626542178,0.054352548400423764,0.12805332657663276,[0.1 0.1 0.8 0.2 1.  0.  0.7 0.3 0.9 0.8 0.3 0.9 0.3 0.9 0.3 0.9 0.2 0.9]
13,6,68654,0.2011794272626937,0.43341333019412326,0.3391139911632413,0.603497464458686,0.8447440046505222,0.0992371496783037,0.14299025657902092,0.12322156999364657,0.16574212817891504,0.012328446537916232,0.0060450171252262284,0.010991550430741277,0.07785115474443126,0.36599513783291776,0.9221488452555687,0.6340048621670823,0.04740289079876693,0.0683509801426931,0.19222645254199394,[0.9 0.8 1.  0.8 0.  0.9 0.4 0.8 0.4 0.8 0.9 0.6 0.8 0.5 0.8 0.5 0.7 0.4]
14,6,68654,0.21211583021976244,0.45025684444619624,0.27836945256113,0.624592443998337,0.8623887422550663,0.1306232650060875,0.16051263166322935,0.146473408575132,0.1675462154176097,0.014556615056737644,0.00841382295895835,0.01140412989034946,0.07902666501946863,0.3666432789196713,0.9209733349805314,0.6333567210803288,0.058713245137040945,0.07119956147418884,0.3851794022403259,[0.9 0.9 0.6 0.9 0.8 0.2 0.1 0.3 0.4 0.4 0.3 0.4 0.3 0.4 0.3 0.4 0.3 0.2]
15,6,68654,0.19027525494841294,0.4300927346599221,0.3345844585098205,0.6065713303036907,0.8578012978710275,0.1244706640399257,0.15038992121056527,0.14786827617137177,0.17295493315756408,0.01446915583574048,0.00896329825635779,0.011884944237502514,0.07907551902554603,0.36712990937681933,0.920924480974454,0.6328700906231807,0.05662783622760583,0.06991879766248547,0.40237343663845604,[0.8 0.8 1.  0.8 0.4 0.3 0.2 0.3 0.3 0.4 0.3 0.4 0.3 0.4 0.3 0.4 0.5 0.2]
16,6,68654,0.22119975227524713,0.4589197594739436,0.28599272984568425,0.6294835729809113,0.8734796946006543,0.12087270759129315,0.15852157676645334,0.15678450767641947,0.17413441224894438,0.01589930301425596,0.01050488815766569,0.012544627055441163,0.07976782524876569,0.36791442651291667,0.9202321747512343,0.6320855734870832,0.06576263427954793,0.07526405445461229,0.11377373509844883,[0.9 1.  0.8 0.9 1.  0.4 0.2 0.3 0.3 0.1 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0. ]
17,6,68654,0.1800573092349814,0.41078287072668257,0.2734377169721148,0.5680293602700629,0.8505894859959033,0.12016989057106205,0.14507208227395008,0.14271375688523785,0.15639892547386716,0.013030397549544126,0.008419901380311267,0.009778108538842332,0.07886806980412486,0.364693137174064,0.9211319301958751,0.6353068628259361,0.055766059118303395,0.06426939602162007,0.15615933742019406,[0.7 0.7 0.6 0.6 0.  0.4 0.4 0.4 0.7 0.6 0.3 0.7 0.5 0.7 0.5 0.7 0.5 0.5]
18,6,68654,0.1435948931590301,0.37343480266401796,0.25687225074807996,0.5678116270457241,0.8542190942644572,0.07845169104827113,0.1439583626875059,0.14896993448021337,0.17441931783942635,0.014256287753447568,0.00906695888806961,0.012626325578019635,0.07956502430147339,0.3680811023571671,0.9204349756985266,0.6319188976428329,0.05579116010817784,0.07033442173521005,0.2818480733058198,[0.1 0.1 0.2 0.6 0.1 1.  0.4 0.3 0.3 0.4 0.3 0.3 0.3 0.3 0.3 0.3 0.5 0.2]
19,6,68654,0.22829815291754274,0.46005784731136184,0.3138412606144682,0.6120566752818377,0.8574117120424513,0.08974182559684775,0.1098113380565282,0.13037756310770868,0.1487738435110607,0.010990706145564126,0.007217556071492973,0.009288077663775526,0.07823720239091574,0.3639150876716456,0.9217627976090842,0.6360849123283543,0.05628239821060344,0.05582355110479705,0.7335255254539182,[1.  1.  0.9 0.9 0.4 0.9 0.9 0.6 0.9 0.9 0.6 0.7 0.6 0.7 0.6 0.7 0.5 0.8]
20,6,68654,0.1717561800614166,0.4053122855923923,0.23351574078101422,0.5503928338208673,0.8565695797461514,0.12521354549597077,0.12678499120954653,0.14165332758178573,0.15820106891223693,0.013245564108571058,0.008828000693101686,0.010150736995108841,0.07906004354884541,0.36521269832447334,0.9209399564511547,0.6347873016755267,0.06427094945688754,0.05805957622247896,0.13012102404641263,[0.5 0.5 0.  0.2 0.4 0.3 0.7 0.4 0.7 0.5 0.3 0.7 0.3 0.7 0.3 0.7 0.3 0.7]
